📻┃综.合,#genre#
Now星影台,http://104.233.187.235/php/channelinfo.php?id=13003
Now爆谷台,http://104.233.187.235/php/channelinfo.php?id=13002
阿里云平台演示,http://player.alicdn.com/video/aliyunmedia.mp4
TEST,http://61.221.215.25:8800/hls/49/index.m3u8
4K.动物频道,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
澳门莲花,http://php.jdshipin.com:8880/amlh.php
AMC 电影,http://61.221.215.25:8800/hls/43/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
韩流歌团,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239960909980.mp4
韩流歌团A,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240225803033.mp4
韩流歌团B,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240229579224.mp4
韩流歌团C,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239993533054.mp4
韩流歌团D,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239994225085.mp4
韩流歌团E,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239989445779.mp4
韩流歌团F,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240184339138.mp4
gaonchart,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240191295627.mp4
庆余年第二季01,https://yundunm3.czys.art:88/hls/qingyunian/2/01.m3u8
庆余年第二季01,https://play.mtle.cn/Vtche/BF/1691320616.m3u8
庆余年第二季02,https://yundunm3.czys.art:88/hls/qingyunian/2/02.m3u8
庆余年第二季02,https://play.mtle.cn/Vtche/BF/2687425957.m3u8
庆余年第二季03,https://yundunm3.czys.art:88/hls/qingyunian/2/03.m3u8
庆余年第二季03,https://play.mtle.cn/Vtche/BF/1655465192.m3u8
庆余年第二季04,https://yundunm3.czys.art:88/hls/qingyunian/2/04.m3u8
庆余年第二季04,https://play.mtle.cn/Vtche/BF/560856739.m3u8
庆余年第二季05,https://yundunm3.czys.art:88/hls/qingyunian/2/05.m3u8
庆余年第二季05,https://play.mtle.cn/Vtche/BF/57892061.m3u8
庆余年第二季06,https://yundunm3.czys.art:88/hls/qingyunian/2/06.m3u8
庆余年第二季06,https://play.mtle.cn/Vtche/BF/1435716962.m3u8
庆余年第二季07,https://yundunm3.czys.art:88/hls/qingyunian/2/07.m3u8
庆余年第二季07,https://vvqq.play-cdn23.com/20240517/13393_51f24298/2000k/hls/mixed.m3u8
庆余年第二季07,https://47.96.255.149/Vtche/BF/1812992616.m3u8
庆余年第二季08,https://yundunm3.czys.art:88/hls/qingyunian/2/08.m3u8
庆余年第二季08,https://47.96.255.149/Vtche/YZ/1564323205.m3u8
庆余年第二季08,https://47.96.255.149/Vtche/BF/2965781303.m3u8
庆余年第二季08,https://p26.douyinpic.com/obj/tos-cn-o-0000c0030/osBzIhouAAAFA8r0QEf9JlBzxNs22GEhgABBIA?x-expires=1716033784545&x-signature=6JrpWB9fmcI3ClBOaRtCmliNKUM%3D&s.mp4
庆余年第二季08,https://v4.pe12369.com/202405/18/hhaEjyjsLS4/video/2000k_0X1080_64k_25/hls/index.m3u8
庆余年第二季09,https://yundunm3.czys.art:88/hls/qingyunian/2/09.m3u8
庆余年第二季09,https://vvqq.play-cdn23.com/20240519/13459_f6f8938d/2000k/hls/mixed.m3u8
庆余年第二季09,https://47.96.255.149/Vtche/BF/460307671.m3u8
庆余年第二季09,https://v.kdv1qb.qq.com/10002-nkvlog_0bc334aa4aaaoqaow52jsvtfdx6db3pqadsa.f0.mp4?dis_k=fa583ddfd4247b4b3f56f82e9b3837fb&dis_t=1716119030
庆余年第二季10,https://yundunm3.czys.art:88/hls/qingyunian/2/10.m3u8
庆余年第二季10,https://47.96.255.149/Vtche/BF/1196909575.m3u8
庆余年第二季10,https://vvqq.play22-cdn.com/20240520/2315_e928f912/2000k/hls/mixed.m3u8
庆余年第二季11,https://yundunm3.czys.art:88/hls/qingyunian/2/11.m3u8
庆余年第二季11,https://47.96.255.149/Vtche/BF/3619104812.m3u8
庆余年第二季11,https://vvqq.play-cdn23.com/20240520/13496_b84b1361/2000k/hls/mixed.m3u8
庆余年第二季12,https://yundunm3.czys.art:88/hls/qingyunian/2/12.m3u8
庆余年第二季12,https://47.96.255.149/Vtche/BF/1060947921.m3u8
庆余年第二季12,https://v.kdv1qb.qq.com/10002-nkvlog_0bc37aaamaaahaai6acmantfd6gda34aabsa.f0.mp4?dis_k=4bb221becc4687ca4d8dacb6a0ec4006&dis_t=1716292313
庆余年第二季13,https://yundunm3.czys.art:88/hls/qingyunian/2/13.m3u8
庆余年第二季13,https://47.96.255.149/Vtche/BF/683021970.m3u8
庆余年第二季13,https://v.kdv1qb.qq.com/10002-nkvlog_0bc3puaamaaatuai6bsmavtfc7odaz6qabsa.f0.mp4?dis_k=a92fa04698c89bb1c59b236bdf1f1f27&dis_t=1716292327
庆余年第二季14,https://yundunm3.czys.art:88/hls/qingyunian/2/14.m3u8
庆余年第二季14,https://vip.play-cdn23.com/20240522/13532_b9583591/2000k/hls/mixed.m3u8
庆余年第二季14,https://47.96.255.149/Vtche/BF/2104002281.m3u8
庆余年第二季15,https://yundunm3.czys.art:88/hls/qingyunian/2/015.m3u8
庆余年第二季15,https://vvqq.play22-cdn.com/20240522/2510_b8625c2d/2000k/hls/mixed.m3u8
庆余年第二季15,https://47.96.255.149/Vtche/BF/3172517867.m3u8
庆余年第二季16,https://yundunm3.czys.art:88/hls/qingyunian/2/16.m3u8
庆余年第二季16,https://47.96.255.149/Vtche/BF/1337465039.m3u8
庆余年第二季16,https://yundunm3.czys.art:88/hls/qingyunian/2/016.m3u8
庆余年第二季17,https://yundunm3.czys.art:88/hls/qingyunian/2/17.m3u8
庆余年第二季17,https://yundunm3.czys.art:88/hls/qingyunian/2/017.m3u8
庆余年第二季18,https://yundunm3.czys.art:88/hls/qingyunian/2/18.m3u8
庆余年第二季18,https://yundunm3.czys.art:88/hls/qingyunian/2/018.m3u8
庆余年第二季19,https://yundunm3.czys.art:88/hls/qingyunian/2/19.m3u8
庆余年第二季19,https://yundunm3.czys.art:88/hls/qingyunian/2/019.m3u8
庆余年第二季20,https://yundunm3.czys.art:88/hls/qingyunian/2/20.m3u8
庆余年第二季20,https://yundunm3.czys.art:88/hls/qingyunian/2/020.m3u8
庆余年第二季21,https://yundunm3.czys.art:88/hls/qingyunian/2/21.m3u8
庆余年第二季21,https://yundunm3.czys.art:88/hls/qingyunian/2/021.m3u8
庆余年第二季22,https://yundunm3.czys.art:88/hls/qingyunian/2/22.m3u8
庆余年第二季22,https://yundunm3.czys.art:88/hls/qingyunian/2/022.m3u8
庆余年第二季23,https://yundunm3.czys.art:88/hls/qingyunian/2/23.m3u8
庆余年第二季23,https://yundunm3.czys.art:88/hls/qingyunian/2/023.m3u8
庆余年第二季24,https://yundunm3.czys.art:88/hls/qingyunian/2/24.m3u8
庆余年第二季24,https://yundunm3.czys.art:88/hls/qingyunian/2/024.m3u8
庆余年第二季25,https://yundunm3.czys.art:88/hls/qingyunian/2/25.m3u8
庆余年第二季25,https://yundunm3.czys.art:88/hls/qingyunian/2/025.m3u8
庆余年第二季26,https://yundunm3.czys.art:88/hls/qingyunian/2/26.m3u8
庆余年第二季26,https://yundunm3.czys.art:88/hls/qingyunian/2/026.m3u8
庆余年第二季27,https://yundunm3.czys.art:88/hls/qingyunian/2/27.m3u8
庆余年第二季27,https://yundunm3.czys.art:88/hls/qingyunian/2/027.m3u8
庆余年第二季28,https://yundunm3.czys.art:88/hls/qingyunian/2/28.m3u8
庆余年第二季28,https://yundunm3.czys.art:88/hls/qingyunian/2/028.m3u8
庆余年第二季29,https://yundunm3.czys.art:88/hls/qingyunian/2/29.m3u8
庆余年第二季29,https://yundunm3.czys.art:88/hls/qingyunian/2/029.m3u8
庆余年第二季30,https://yundunm3.czys.art:88/hls/qingyunian/2/30.m3u8
庆余年第二季30,https://yundunm3.czys.art:88/hls/qingyunian/2/030.m3u8
庆余年第二季31,https://yundunm3.czys.art:88/hls/qingyunian/2/31.m3u8
庆余年第二季31,https://yundunm3.czys.art:88/hls/qingyunian/2/031.m3u8
庆余年第二季32,https://yundunm3.czys.art:88/hls/qingyunian/2/32.m3u8
庆余年第二季32,https://yundunm3.czys.art:88/hls/qingyunian/2/032.m3u8
